time_s,omega_1_rad_s,omega_2_rad_s,omega_3_rad_s,psi_rad,epsilon_rad,theta_rad,moon_x_inertial_m,moon_y_inertial_m,moon_z_inertial_m,moon_x_body_m,moon_y_body_m,moon_z_body_m,normalized_torque_1_s-2,normalized_torque_2_s-2,normalized_torque_3_s-2,omega_dot_1_s-2,omega_dot_2_s-2,omega_dot_3_s-2,rotation_axis_body_x,rotation_axis_body_y,rotation_axis_body_z,figure_axis_body_x,figure_axis_body_y,figure_axis_body_z
0.000000000000000000e+00,7.292115146699999235e-11,0.000000000000000000e+00,7.292115146699999588e-05,0.000000000000000000e+00,4.101523742186674593e-01,0.000000000000000000e+00,3.800000000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.752470122525266940e-17,0.000000000000000000e+00,9.999999999994999936e-07,0.000000000000000000e+00,9.999999999995000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.600000000000000000e+03,7.291992248454420374e-11,5.605047509265121605e-14,7.292115146699999588e-05,-8.617701703576296201e-08,4.101521147265252409e-01,2.625162243107068138e-01,3.799825548042982221e+08,3.641159760089373682e+06,0.000000000000000000e+00,3.677986873921126127e+08,-9.550499166331845522e+07,1.709420962922257604e+06,-9.987773933205502510e-19,-3.846385491087430959e-18,-0.000000000000000000e+00,-1.012247666482332313e-18,1.367802038021216097e-17,-0.000000000000000000e+00,9.999831464195570332e-07,7.686449536934215824e-10,9.999999999995000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.200000000000000000e+03,7.291161425289625314e-11,9.938236709445930120e-14,7.292115146699999588e-05,-3.386792912944318105e-07,4.101518731231015291e-01,5.250326011517013614e-01,3.799302208189553022e+08,7.281985200470346957e+06,0.000000000000000000e+00,3.319792941219293475e+08,-1.848730939519486427e+08,3.418684972248542123e+06,-3.866574653398872566e-18,-6.943264142259308107e-18,-0.000000000000000000e+00,-3.890458619235272400e-18,1.057914506175772836e-17,-0.000000000000000000e+00,9.998692119645900717e-07,1.362874352572236619e-09,9.999999999995000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.080000000000000000e+04,7.289011027260255882e-11,1.339247244517150643e-13,7.292115146699999588e-05,-7.399644030345462922e-07,4.101516660502111944e-01,7.875491144355540873e-01,3.798430028491112590e+08,1.092214203213069029e+07,0.000000000000000000e+00,2.748449818355574012e+08,-2.623622368371795118e+08,5.127635088793860748e+06,-8.230231345019733632e-18,-8.621811628813760889e-18,-0.000000000000000000e+00,-8.262416667597266891e-18,8.895429653109076233e-18,-0.000000000000000000e+00,9.995743183725246037e-07,1.836568975631918509e-09,9.999999999995003996e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.440000000000000000e+04,7.285102231239473080e-11,1.657527167501356262e-13,7.292115146699999588e-05,-1.262229537659426011e-06,4.101515077537846721e-01,1.050065738665423076e+00,3.797209089028428197e+08,1.456129602744770236e+07,0.000000000000000000e+00,2.000692378212068379e+08,-3.229946866707276106e+08,6.836114402193856426e+06,-1.350822567301000564e-17,-8.367259667869020434e-18,-0.000000000000000000e+00,-1.354806002531908301e-17,9.140587839951705836e-18,-0.000000000000000000e+00,9.990382878872483355e-07,2.273040310191251784e-09,9.999999999995009548e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+04,7.279234197448040166e-11,2.024228617247105783e-13,7.292115146699999588e-05,-1.869329633982539230e-06,4.101514091013286900e-01,1.312582440694105568e+00,3.795639501904276609e+08,1.819911305087592453e+07,0.000000000000000000e+00,1.124593376449783444e+08,-3.628772492464488149e+08,8.543966045311821625e+06,-1.896762093902461851e-17,-5.878257983748771481e-18,-0.000000000000000000e+00,-1.901626800646007411e-17,1.161548723181439417e-17,-0.000000000000000000e+00,9.982335784616050784e-07,2.775914225877451981e-09,9.999999999995017319e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.160000000000000000e+04,7.271485786479745799e-11,2.521287542766013074e-13,7.292115146699999588e-05,-2.519270935976402707e-06,4.101513768324011600e-01,1.575099182010780696e+00,3.793721411233155727e+08,2.183525908962639794e+07,0.000000000000000000e+00,1.764683261912257597e+07,-3.794515853395106792e+08,1.025103320864173211e+07,-2.379674842786786931e-17,-1.106695169056199569e-18,-0.000000000000000000e+00,-2.385734101314804349e-17,1.636842875701028419e-17,-0.000000000000000000e+00,9.971710045975885377e-07,3.457553113249661668e-09,9.999999999995028421e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.520000000000000000e+04,7.262229292082955084e-11,3.227549724635620334e-13,7.292115146699999588e-05,-3.167107962364237727e-06,4.101514130937987113e-01,1.837615921397706797e+00,3.791454993128051758e+08,2.546940028433467820e+07,0.000000000000000000e+00,-7.827497654228818417e+07,-3.716585185250747204e+08,1.195715915470601246e+07,-2.718727678631048973e-17,5.725910605096420858e-18,0.000000000000000000e+00,-2.726484254532004513e-17,2.317878895557426529e-17,0.000000000000000000e+00,9.959016205834092066e-07,4.426081678228335589e-09,9.999999999995041744e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.880000000000000000e+04,7.252114100007355917e-11,4.209173258048371015e-13,7.292115146699999588e-05,-3.768044074950937809e-06,4.101515152915182205e-01,2.100132617773642352e+00,3.788840455684264898e+08,2.910120295971471444e+07,0.000000000000000000e+00,-1.691432027339084744e+08,-3.400057670230631828e+08,1.366218723244665749e+07,-2.841843276390497259e-17,1.413736236432446675e-17,0.000000000000000000e+00,-2.851958929019213941e-17,3.156593148279009815e-17,0.000000000000000000e+00,9.945144795588791922e-07,5.772225442642830048e-09,9.999999999995053956e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.240000000000000000e+04,7.242020850843768935e-11,5.510806317851428124e-13,7.292115146699999588e-05,-4.280521778909628624e-06,4.101516762697027807e-01,2.362649233027844353e+00,3.785878038960309029e+08,3.273033365519585460e+07,0.000000000000000000e+00,-2.491218898442203104e+08,-2.865347644637936950e+08,1.536596089160843566e+07,-2.693584796473277998e-17,2.341883143599748355e-17,0.000000000000000000e+00,-2.706828585454625192e-17,4.082314405653000949e-17,0.000000000000000000e+00,9.931303476629173539e-07,7.557212423260472002e-09,9.999999999995067279e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
